Coach_ID,Name,Team Abb,Season_ID,TeamID
ARI_2021,Kliff Kingsbury,ARI,2021,21
ATL_2021,Arthur Smith,ATL,2021,29
BAL_2021,John Harbaugh,BAL,2021,9
BUF_2021,Sean McDermott,BUF,2021,1
CAR_2021,Matt Rhule,CAR,2021,30
CHI_2021,Matt Nagy,CHI,2021,25
CIN_2021,Zac Taylor,CIN,2021,10
CLE_2021,Kevin Stefanski,CLE,2021,11
DAL_2021,Mike McCarthy,DAL,2021,17
DEN_2021,Vic Fangio,DEN,2021,5
DET_2021,Dan Campbell,DET,2021,26
GNB_2021,Matt LaFleur,GNB,2021,27
HOU_2021,David Culley,HOU,2021,13
IND_2021,Frank Reich,IND,2021,14
JAX_2021,Darrell Bevell,JAX,2021,15
JAX_2021_2,Urban Meyer,JAX,2021,15
KAN_2021,Andy Reid,KAN,2021,6
LAC_2021,Brandon Staley,LAC,2021,8
LAR_2021,Sean McVay,LAR,2021,22
LVR_2021,Jon Gruden,LVR,2021,7
LVR_2021_2,Rich Bisaccia,LVR,2021,7
MIA_2021,Brian Flores,MIA,2021,2
MIN_2021,Mike Zimmer,MIN,2021,28
NOR_2021,Sean Payton,NOR,2021,31
NWE_2021,Bill Belichick,NWE,2021,3
NYG_2021,Joe Judge,NYG,2021,18
NYJ_2021,Robert Saleh,NYJ,2021,4
PHI_2021,Nick Sirianni,PHI,2021,19
PIT_2021,Mike Tomlin,PIT,2021,12
SEA_2021,Pete Carroll,SEA,2021,24
SFO_2021,Kyle Shanahan,SFO,2021,23
TAM_2021,Bruce Arians,TAM,2021,32
TEN_2021,Mike Vrabel,TEN,2021,16
WAS_2021,Ron Rivera,WAS,2021,20
ARI_2022,Kliff Kingsbury,ARI,2022,21
ATL_2022,Arthur Smith,ATL,2022,29
BAL_2022,John Harbaugh,BAL,2022,9
BUF_2022,Sean McDermott,BUF,2022,1
CAR_2022,Steve Wilks,CAR,2022,30
CAR_2022_2,Matt Rhule,CAR,2022,30
CHI_2022,Matt Eberflus,CHI,2022,25
CIN_2022,Zac Taylor,CIN,2022,10
CLE_2022,Kevin Stefanski,CLE,2022,11
DAL_2022,Mike McCarthy,DAL,2022,17
DEN_2022,Nathaniel Hackett,DEN,2022,5
DEN_2022_2,Jerry Rosburg,DEN,2022,5
DET_2022,Dan Campbell,DET,2022,26
GNB_2022,Matt LaFleur,GNB,2022,27
HOU_2022,Lovie Smith,HOU,2022,13
IND_2022,Frank Reich,IND,2022,14
IND_2022_2,Jeff Saturday,IND,2022,14
JAX_2022,Doug Pederson,JAX,2022,15
KAN_2022,Andy Reid,KAN,2022,6
LAC_2022,Brandon Staley,LAC,2022,8
LAR_2022,Sean McVay,LAR,2022,22
LVR_2022,Josh McDaniels,LVR,2022,7
MIA_2022,Mike McDaniel,MIA,2022,2
MIN_2022,Kevin O'Connell,MIN,2022,28
NOR_2022,Dennis Allen,NOR,2022,31
NWE_2022,Bill Belichick,NWE,2022,3
NYG_2022,Brian Daboll,NYG,2022,18
NYJ_2022,Robert Saleh,NYJ,2022,4
PHI_2022,Nick Sirianni,PHI,2022,19
PIT_2022,Mike Tomlin,PIT,2022,12
SEA_2022,Pete Carroll,SEA,2022,24
SFO_2022,Kyle Shanahan,SFO,2022,23
TAM_2022,Todd Bowles,TAM,2022,32
TEN_2022,Mike Vrabel,TEN,2022,16
WAS_2022,Ron Rivera,WAS,2022,20
ARI_2023,Jonathan Gannon,ARI,2023,21
ATL_2023,Arthur Smith,ATL,2023,29
BAL_2023,John Harbaugh,BAL,2023,9
BUF_2023,Sean McDermott,BUF,2023,1
CAR_2023,Frank Reich,CAR,2023,30
CAR_2023_2,Chris Tabor,CAR,2023,30
CHI_2023,Matt Eberflus,CHI,2023,25
CIN_2023,Zac Taylor,CIN,2023,10
CLE_2023,Kevin Stefanski,CLE,2023,11
DAL_2023,Mike McCarthy,DAL,2023,17
DEN_2023,Sean Payton,DEN,2023,5
DET_2023,Dan Campbell,DET,2023,26
GNB_2023,Matt LaFleur,GNB,2023,27
HOU_2023,DeMeco Ryans,HOU,2023,13
IND_2023,Shane Steichen,IND,2023,14
JAX_2023,Doug Pederson,JAX,2023,15
KAN_2023,Andy Reid,KAN,2023,6
LAC_2023,Brandon Staley,LAC,2023,8
LAC_2023_2,Giff Smith,LAC,2023,8
LAR_2023,Sean McVay,LAR,2023,22
LVR_2023,Antonio Pierce,LVR,2023,7
LVR_2023_2,Josh McDaniels,LVR,2023,7
MIA_2023,Mike McDaniel,MIA,2023,2
MIN_2023,Kevin O'Connell,MIN,2023,28
NOR_2023,Dennis Allen,NOR,2023,31
NWE_2023,Bill Belichick,NWE,2023,3
NYG_2023,Brian Daboll,NYG,2023,18
NYJ_2023,Robert Saleh,NYJ,2023,4
PHI_2023,Nick Sirianni,PHI,2023,19
PIT_2023,Mike Tomlin,PIT,2023,12
SEA_2023,Pete Carroll,SEA,2023,24
SFO_2023,Kyle Shanahan,SFO,2023,23
TAM_2023,Todd Bowles,TAM,2023,32
TEN_2023,Mike Vrabel,TEN,2023,16
WAS_2023,Ron Rivera,WAS,2023,20
